datetime,Open,High,Low,Close,Volume
2024-12-27 12:00:00,2617.825,2618.195,2614.798,2615.348,2602
2024-12-27 12:15:00,2615.348,2616.508,2614.798,2615.678,2443
2024-12-27 12:30:00,2615.785,2616.248,2613.854,2615.798,2217
2024-12-27 12:45:00,2615.698,2615.998,2614.298,2615.648,2023
2024-12-27 13:00:00,2615.494,2617.748,2614.924,2617.698,2070
2024-12-27 13:15:00,2617.698,2617.798,2615.448,2616.948,1812
2024-12-27 13:30:00,2616.898,2619.998,2616.898,2619.448,1821
2024-12-27 13:45:00,2619.448,2619.648,2617.874,2618.448,1061
2024-12-27 14:00:00,2618.448,2618.748,2617.324,2617.415,1915
2024-12-27 14:15:00,2617.425,2618.835,2617.298,2618.385,1722
2024-12-27 14:30:00,2618.425,2619.455,2618.298,2619.348,1557
2024-12-27 14:45:00,2619.348,2621.234,2619.315,2620.554,1719
2024-12-27 15:00:00,2620.604,2620.675,2614.735,2614.965,2094
2024-12-27 15:15:00,2614.965,2615.655,2612.948,2613.035,1938
2024-12-27 15:30:00,2612.998,2614.545,2612.448,2613.265,2338
2024-12-27 15:45:00,2613.355,2616.848,2613.295,2615.315,2805
2024-12-27 16:00:00,2615.265,2616.415,2615.175,2616.405,611
2024-12-27 16:15:00,2616.475,2616.655,2615.705,2616.245,472
2024-12-27 16:30:00,2616.275,2618.985,2615.895,2618.985,655
2024-12-27 16:45:00,2619.015,2621.598,2618.675,2621.348,1004
2024-12-29 18:00:00,2620.154,2623.095,2618.914,2622.748,778
2024-12-29 18:15:00,2622.748,2625.815,2622.094,2623.465,802
2024-12-29 18:30:00,2623.465,2624.685,2622.195,2624.548,470
2024-12-29 18:45:00,2624.415,2625.998,2623.434,2623.748,690
2024-12-29 19:00:00,2623.904,2625.198,2623.575,2624.104,591
2024-12-29 19:15:00,2624.134,2624.135,2622.808,2624.055,523
2024-12-29 19:30:00,2624.095,2624.125,2622.554,2623.498,470
2024-12-29 19:45:00,2623.498,2623.805,2621.225,2622.385,707
2024-12-29 20:00:00,2622.305,2624.548,2621.994,2623.348,2352
2024-12-29 20:15:00,2623.448,2626.048,2623.448,2625.115,2148
2024-12-29 20:30:00,2625.135,2626.648,2624.414,2625.525,2368
2024-12-29 20:45:00,2625.525,2626.048,2623.755,2624.065,1797
2024-12-29 21:00:00,2624.055,2624.075,2622.074,2623.455,1781
2024-12-29 21:15:00,2623.455,2624.255,2622.748,2623.655,1107
2024-12-29 21:30:00,2623.655,2625.255,2623.248,2623.655,1399
2024-12-29 21:45:00,2623.648,2624.725,2622.848,2623.648,1246
2024-12-29 22:00:00,2623.648,2625.155,2622.948,2624.648,1523
